smiles,source,predicted_pIC50,predicted_IC50_nM,MolWt,LogP,QED,AromaticRings,RingCount,is_novel
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4cc5c(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c4-5)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.700413373923848,0.1993364070708322,953.1349999999996,8.649500000000005,0.0482861022270896,5,10,True
CN(C)CCC(=O)N1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]cc(N)c5c4)c3)cc2)CC1,mutation,9.692788325741477,0.2028671248891743,996.2039999999996,8.893300000000004,0.0451275982516677,6,9,True
COCC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5O)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.687339822609056,0.2054282551500976,965.1869999999996,7.19360000000001,0.0518800478613782,5,9,True
COc1c(S(=O)(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)cc2Oc2cnc3[nH]ccc3c2)ccc(NCC2C=CC(O)(C(F)(F)F)CC2)c1[N+](=O)[O-],mutation,9.68043844570596,0.2087187928444632,970.084,9.5257,0.0468919034733979,5,10,True
C[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ncc(N4CCC56CC4CN4CCN(C(C5)C6)[C@H](c5ccccc5C5CC5)C4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,mutation,9.677786341519598,0.2099972746474858,916.1179999999998,7.497700000000008,0.0709687657946875,5,13,True
O=C(NS(=O)(=O)c1ccc(NCC2CCC(O)(C(F)F)CC2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2O)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.676346802834388,0.2106944991733806,940.0829999999996,8.414700000000007,0.052631902417125,5,10,True
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+]=O)c4)c(Oc4cnc5[nH]ccc5c4)c3)c(O)c2)CC1,mutation,9.675065975180374,0.2113167996775484,896.0829999999996,8.993700000000004,0.0743665407683866,6,9,True
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)N[SH](=O)(O)c4ccc(NCC5(F)CCN(C6COC6)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.654142041659446,0.2217471048435194,943.1149999999994,8.799200000000004,0.0399048644034109,6,10,True
CC1(C)CC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+]([O-])=S)CC(C)(CO)O1,mutation,9.653306385576084,0.222174194566492,948.225,9.1778,0.0614860061155809,5,10,True
CN1CCN(C2CC3(CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)cc#4)CC3)C2)[C@H](c2ccccc2C2CC2)C1,mutation,9.651855908619169,0.2229174628090444,916.1379999999994,7.7698800000000094,0.0705225465348808,5,10,True
C[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(-c4ccc(N5CCC[C@@H]5c5ccccc5C5CCN(C(=O)CN)CC5)cc4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,mutation,9.64101902822843,0.2285498664080097,941.1239999999996,8.408400000000006,0.0512626319262776,6,9,True
CN(C)CC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+]=O)c4)c(Oc4cc5cc[nH]c5nc4N)c3)cc2)CC1,mutation,9.63924527267288,0.2294852238561176,968.1939999999996,8.419000000000006,0.065552091153812,6,9,True
CNCC(=O)N1CCC(c2cc(OC)ccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(OC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.633011660763117,0.2328028749488291,986.1609999999996,8.644600000000006,0.0527929267530027,6,9,True
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@@H]5COCCO5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C(N)C2)C1,mutation,9.62789408572372,0.2355623695427491,849.0269999999996,6.468200000000006,0.0943379951988296,5,9,True
CC1Cc2nc3[nH]ccc3cc2Oc2cc(ccc2C(=O)NS(=O)(=O)c2ccc(NC[C@H]3CC[C@@](O)(C(F)F)CC3)c([N+](=O)[O-])c2)N2CCC3(CC2)CC(C3)N2CCC[C@@H]2c2ccccc21,mutation,9.622954056954155,0.2382571502959512,924.0839999999994,9.226100000000002,0.0860006867523614,5,12,True
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=S)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)C(O)C1,mutation,9.62015676923076,0.2397967157789133,987.2179999999996,8.175200000000007,0.0325770823732375,6,9,True
CC1C[C@@H](c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@@H]6COCCO6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.608120558432672,0.2465354869462581,876.0489999999995,7.918900000000008,0.0769460820426948,5,10,True
O=C(NS(=O)(=O)c1ccc(NCC2CCC(O)(C(F)F)CC2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.59592383927017,0.2535573246272208,924.0839999999996,9.443900000000005,0.0614984449537391,5,10,True
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)c4ccc(NC[C@H]5OCCOC5N)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.589737523097464,0.2571949736294379,849.0269999999996,6.976600000000006,0.0704158490975646,5,9,True
CC1CC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ncc4c3)cc2[N+](=O)[O-])CCO1,mutation,9.584551704784111,0.2602844932095292,875.0649999999999,8.467600000000006,0.0758618635481626,5,10,True
CN(C)CCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+]=O)c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)C(O)C1,mutation,9.580859086611714,0.2625070148781286,983.2049999999996,8.197700000000008,0.0621477555526594,6,9,True
CNCC(=O)N1C=CC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)N(Cl)S(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.577250752698406,0.2646971390494881,987.5799999999996,9.658900000000004,0.0431633055744287,6,9,True
CNCCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]cc(C)c5c4)c3)cc2)CC1,mutation,9.577119829819638,0.2647769469608672,983.2049999999996,9.367620000000002,0.0453567613260862,6,9,True
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4N)c(Oc4cnc5[nH]ccc5c4)c3)cc2)OC1,mutation,9.566817368412694,0.2711331574274896,913.0699999999996,8.586300000000007,0.041714617403716,6,9,True
Nc1ccc(Oc2cc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)ccc2C(=O)NS(=O)(=O)c2ccc(NCC3=CCOCC3)c([N+](=O)[O-])c2)cn1,mutation,9.564372100252523,0.272664061650215,834.012,7.705100000000009,0.0679266735145708,4,9,True
CNCCN1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.560047967494173,0.2753924517678133,941.1679999999996,9.142500000000004,0.0456978148573573,6,9,True
O=C(NS(=O)(=O)c1ccc(NC[C@@H]2NOCCO2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.538830620110438,0.2891807500954676,863.0099999999999,7.135000000000008,0.0690680389841338,5,10,True
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(CNS(=O)(=O)c4ccc(NCC5(F)CCN(C6COC6)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3O)cc2)CC1,mutation,9.535385457127864,0.2914838806715218,943.1149999999996,8.789700000000003,0.0569278229254497,6,10,True
CN(C)CCOC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6)c([N+][O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.533269403086353,0.2929075706993649,931.1729999999995,8.066300000000009,0.0765641062075069,5,10,True
CN1CC=C(c2ccccc2[C@H]2CCCN2c2cc#c(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4F)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.53125907452381,0.2942665688969738,913.0649999999996,9.211880000000004,0.0678476884164623,6,9,True
CC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.530428470686545,0.2948299028341754,903.1629999999994,8.421800000000008,0.0833683687056799,5,9,True
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(N=C[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3OC)cc2)CC1,mutation,9.526251649811291,0.2976791042598314,983.1609999999996,8.968100000000005,0.0430240862343052,6,9,True
C[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCNC[C@@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+][O-])CC1,mutation,9.522467524639255,0.3002841956824494,887.1199999999999,7.833600000000009,0.0725167256668625,5,10,True
COc1cc2c([N+](=O)[O-])cc1S(=O)(=O)NC(=O)c1ccc(cc1Oc1cnc3[nH]ccc3c1)N1CCC3(CC1)CC(C3)N1CC(C[C@H]1c1ccccc1C1CC1)C1COC(C)(C)CC1CN2,mutation,9.521202967328785,0.3011598226182268,916.1139999999994,8.937100000000004,0.1088850528166352,5,18,True
CCc1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.515983391773227,0.3048011549016122,889.1359999999994,7.860800000000009,0.0845935258293856,5,9,True
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+]=O)c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@H](c2ccccc2C2CC2)C1,mutation,9.515886516056728,0.3048691528271049,901.1469999999996,8.17580000000001,0.0897737647275307,5,10,True
CC(C)c1c(O)cccc1[C@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.51264500095238,0.3071531680171348,944.0899999999996,9.518200000000002,0.0705249651001234,5,9,True
CN(C)CCOC1CC(c2ccccc2C2CC2O)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6)c([N+](=O)[O-])c5)c(Oc5c#nc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.512339860588858,0.3073690532448858,962.1629999999994,7.011790000000008,0.0547074442064635,5,10,True
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5(N)CCN(C6COC6)CC5)c([N+]=O)c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.506122611909188,0.3118009169892948,922.1249999999994,7.539000000000008,0.0841853108482298,6,10,True
CC(C)c1c(N)cccc1[C@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)F)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.488765358261178,0.3245148997381114,941.1149999999996,9.272100000000002,0.0400987903239696,5,9,True
