record_id,source_id,smiles,inchi,inchikey,status,errors,molecule_chembl_id,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,confidence_score,n_measurements,pIC50,activity_class,activity_label
cbc7096d,,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,,,raw,,CHEMBL412528,1360.0,nM,=,5.87,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,5.8665,0,inactive
26d76814,,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCSC)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1)[C@@H](C)O)C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C)CC)[C@@H](C)CC,,,raw,,CHEMBL440058,3030.0,nM,=,5.52,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,5.5186,0,inactive
ae1bc97b,,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)CC)[C@@H](C)CC,,,raw,,CHEMBL409228,650.0,nM,=,6.19,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,6.1871,1,active
0401a2f5,,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)O,,,raw,,CHEMBL441574,2880.0,nM,=,5.54,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,5.5406,0,inactive
a236ef64,,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,,,raw,,CHEMBL265917,1330.0,nM,=,5.88,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,5.8761,0,inactive
7f462135,,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O)C(C)C,,,raw,,CHEMBL442325,1560.0,nM,=,5.81,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,0.8,1,5.8069,0,inactive
fa4cdfed,,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(F)cc2)cc1,,,raw,,CHEMBL371861,3196.5,nM,=,5.2,CHEMBL858941,Inhibitory activity against Bcl-XL in presence of HSA3 from 1% human serum,0.8,2,5.4953,0,inactive
3c58a747,,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,,,raw,,CHEMBL51483,600.0,nM,=,6.3,CHEMBL909445,Binding affinity to human Bcl2 by ELISA,0.8,7,6.2218,1,active
34cdcf87,,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCSC)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)CC)[C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,,,raw,,CHEMBL2371929,11.0,nM,=,7.96,CHEMBL909445,Binding affinity to human Bcl2 by ELISA,0.8,1,7.9586,1,active
9a3c1933,,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,,,raw,,CHEMBL217354,450.0,nM,=,6.16,CHEMBL909445,Binding affinity to human Bcl2 by ELISA,0.8,2,6.3468,1,active
5463c561,,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cc(Cc2ccccc2)c(O)c(O)c1O,,,raw,,CHEMBL217223,2800.0,nM,=,5.8,CHEMBL909445,Binding affinity to human Bcl2 by ELISA,0.8,2,5.5528,0,inactive
1af07254,,O=C(Nc1ccccc1)c1cc(Cc2ccccc2)c(O)c(O)c1O,,,raw,,CHEMBL214965,6100.0,nM,=,5.14,CHEMBL909445,Binding affinity to human Bcl2 by ELISA,0.8,2,5.2147,0,inactive
ed4229e4,,CN(CCCc1ccccc1)S(=O)(=O)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O,,,raw,,CHEMBL376055,330.0,nM,=,6.48,CHEMBL918623,Displacement of biotinylated Bim BH3 peptide from recombinant His-tagged Bcl2 by ELISA assay,0.8,1,6.4815,1,active
72d9495e,,CC(C)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O,,,raw,,CHEMBL219775,6600.0,nM,=,5.18,CHEMBL918623,Displacement of biotinylated Bim BH3 peptide from recombinant His-tagged Bcl2 by ELISA assay,0.8,1,5.1805,0,inactive
fbbaf972,,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2nc3ccccc3s2)c(O)c(O)c1O,,,raw,,CHEMBL258819,170.0,nM,=,6.77,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA,0.8,1,6.7696,1,active
b9711ffc,,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2cccc3ccccc23)c(O)c(O)c1O,,,raw,,CHEMBL259034,290.0,nM,=,6.54,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA,0.8,1,6.5376,1,active
8076ce79,,CC(C)C(=O)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,,,raw,,CHEMBL259033,2600.0,nM,=,5.58,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA,0.8,1,5.585,0,inactive
306ed6ac,,CC(C)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,,,raw,,CHEMBL270268,3400.0,nM,=,5.47,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA,0.8,1,5.4685,0,inactive
d5119d1e,,Cc1cc(C(=O)N2CCc3ccccc3C2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,,raw,,CHEMBL464268,1500.0,nM,=,5.82,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.8239,0,inactive
deb1af84,,Cc1cc(C(=O)N(C)c2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,,raw,,CHEMBL466801,2500.0,nM,=,5.6,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.6021,0,inactive
8064df33,,Cc1cc(C(=O)N(C)c2cccc(F)c2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,,raw,,CHEMBL518858,2300.0,nM,=,5.64,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.6383,0,inactive
8f6a7c91,,Cc1cc(C(=O)N(C)c2ccccc2F)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,,raw,,CHEMBL480008,3000.0,nM,=,5.52,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.5229,0,inactive
e559e1eb,,CCN(C(=O)c1cc(C)n(-c2ccccc2C(=O)N2CCc3ccccc3C2)n1)c1ccccc1,,,raw,,CHEMBL480009,1900.0,nM,=,5.72,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.7212,0,inactive
ad2aa8a8,,Cc1cc(C(=O)N(c2ccccc2)C2CCCCC2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,,raw,,CHEMBL516633,1400.0,nM,=,5.85,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.8539,0,inactive
8256acd6,,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,,,raw,,CHEMBL517577,800.0,nM,=,6.1,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.0969,1,active
73be8ab2,,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,,,raw,,CHEMBL444140,190.0,nM,=,6.72,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.7212,1,active
55bf2e80,,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN,,,raw,,CHEMBL453380,110.0,nM,=,6.96,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.9586,1,active
da930ec3,,COC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,,raw,,CHEMBL501871,160.0,nM,=,6.8,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.7959,1,active
8d6e6222,,CC(=O)NC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,,raw,,CHEMBL510332,730.0,nM,=,6.14,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.1367,1,active
56a472e7,,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CNS(C)(=O)=O,,,raw,,CHEMBL446607,1050.0,nM,=,5.98,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.9788,0,inactive
1325b11e,,CCOC(=O)[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,,raw,,CHEMBL446480,5610.0,nM,=,5.25,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,5.251,0,inactive
69168a33,,COC(=O)C[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,,raw,,CHEMBL453466,280.0,nM,=,6.55,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.5528,1,active
d0eab005,,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN(C)C,,,raw,,CHEMBL500574,150.0,nM,=,6.82,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.8239,1,active
c502a78c,,CNC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(C(=O)N(c2ccccc2)c2ccccc2)cc1C,,,raw,,CHEMBL500866,140.0,nM,=,6.85,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.8539,1,active
6cba82be,,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1C,,,raw,,CHEMBL514298,110.0,nM,=,6.96,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,1,6.9586,1,active
2639f1d8,,Cc1c(Br)c(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,,,raw,,CHEMBL509788,125.0,nM,=,7.4,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,2,6.9031,1,active
ed7f4b7a,,Cc1c(Cl)c(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,,,raw,,CHEMBL460173,265.0,nM,=,7.3,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,2,6.5768,1,active
df6b1dac,,Cc1c(Cl)c(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN,,,raw,,CHEMBL503454,30.0,nM,=,7.52,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,3,7.5229,1,active
d8c811b6,,CCCCN(CCCC)C(=O)c1cc(C)n(-c2ccccc2C(=O)N2CCc3ccccc3C2)n1,,,raw,,CHEMBL513318,1120.0,nM,=,6.64,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,2,5.9508,0,inactive
703bae1a,,CCCCN(CCCC)C(=O)c1nn(-c2ccccc2C(=O)N2Cc3ccccc3C[C@H]2CO)c(C)c1Cl,,,raw,,CHEMBL467229,440.0,nM,=,7.0,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,2,6.3565,1,active
c0ad587a,,CCCCN(CCCC)C(=O)c1nn(-c2ccccc2C(=O)N2Cc3ccccc3C[C@H]2CN)c(C)c1Cl,,,raw,,CHEMBL481581,90.0,nM,=,7.7,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,2,7.0458,1,active
468257cb,,CCCCN(CCCC)C(=O)c1nn(-c2ccc(N)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl,,,raw,,CHEMBL481775,395.0,nM,=,7.05,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,2,6.4034,1,active
e17e65ae,,CCCCN(CCCC)C(=O)c1nn(-c2ccc(NC(=O)c3ccccc3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl,,,raw,,CHEMBL446802,3235.0,nM,=,6.09,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay,0.8,2,5.4901,0,inactive
