molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description
CHEMBL411219,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,17500.0,nM,=,4.76,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL437858,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,49.0,nM,=,7.31,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL409227,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,410.0,nM,=,6.39,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL427653,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,800.0,nM,=,6.10,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL412528,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,1360.0,nM,=,5.87,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL441321,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CN)C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)[C@@H](C)CC)[C@@H](C)CC,8360.0,nM,=,5.08,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL440058,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCSC)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1)[C@@H](C)O)C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C)CC)[C@@H](C)CC,3030.0,nM,=,5.52,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL409228,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)CC)[C@@H](C)CC,650.0,nM,=,6.19,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL414287,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O,29070.0,nM,=,4.54,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL441574,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)O,2880.0,nM,=,5.54,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL265917,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,1330.0,nM,=,5.88,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL413158,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(C)C,22340.0,nM,=,4.65,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL438732,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)CC)[C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)O)[C@@H](C)CC)C(C)C,14080.0,nM,=,4.85,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL442325,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O)C(C)C,1560.0,nM,=,5.81,CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay
CHEMBL371861,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(F)cc2)cc1,6300.0,nM,=,5.20,CHEMBL858941,Inhibitory activity against Bcl-XL in presence of HSA3 from 1% human serum
CHEMBL379173,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,50000.0,nM,>,,CHEMBL866343,Displacement of Flu-Bid from human recombinant Bcl2 receptor
CHEMBL51483,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,500.0,nM,=,6.30,CHEMBL909445,Binding affinity to human Bcl2 by ELISA
CHEMBL2371929,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCSC)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)CC)[C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,11.0,nM,=,7.96,CHEMBL909445,Binding affinity to human Bcl2 by ELISA
CHEMBL217354,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,700.0,nM,=,6.16,CHEMBL909445,Binding affinity to human Bcl2 by ELISA
CHEMBL217223,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cc(Cc2ccccc2)c(O)c(O)c1O,1600.0,nM,=,5.80,CHEMBL909445,Binding affinity to human Bcl2 by ELISA
CHEMBL214965,O=C(Nc1ccccc1)c1cc(Cc2ccccc2)c(O)c(O)c1O,7200.0,nM,=,5.14,CHEMBL909445,Binding affinity to human Bcl2 by ELISA
CHEMBL214839,CC(C)c1cc(C(=O)Nc2ccccc2)c(O)c(O)c1O,53100.0,nM,=,4.28,CHEMBL909445,Binding affinity to human Bcl2 by ELISA
CHEMBL217354,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,200.0,nM,=,6.70,CHEMBL909448,Inhibition of growth of human PC3 cell overexpressing Bcl2
CHEMBL216213,COc1c(Cc2ccccc2C(C)C)cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(OC)c1OC,100000.0,nM,>,,CHEMBL909448,Inhibition of growth of human PC3 cell overexpressing Bcl2
CHEMBL217223,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cc(Cc2ccccc2)c(O)c(O)c1O,4000.0,nM,=,5.40,CHEMBL909448,Inhibition of growth of human PC3 cell overexpressing Bcl2
CHEMBL214965,O=C(Nc1ccccc1)c1cc(Cc2ccccc2)c(O)c(O)c1O,5000.0,nM,=,5.30,CHEMBL909448,Inhibition of growth of human PC3 cell overexpressing Bcl2
CHEMBL214839,CC(C)c1cc(C(=O)Nc2ccccc2)c(O)c(O)c1O,7000.0,nM,=,5.16,CHEMBL909448,Inhibition of growth of human PC3 cell overexpressing Bcl2
CHEMBL376055,CN(CCCc1ccccc1)S(=O)(=O)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O,330.0,nM,=,6.48,CHEMBL918623,Displacement of biotinylated Bim BH3 peptide from recombinant His-tagged Bcl2 by ELISA assay
CHEMBL219775,CC(C)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O,6600.0,nM,=,5.18,CHEMBL918623,Displacement of biotinylated Bim BH3 peptide from recombinant His-tagged Bcl2 by ELISA assay
CHEMBL220055,CC(C)c1cc(C(=O)N2CCc3ccccc3C2)c(O)c(O)c1O,38200.0,nM,=,4.42,CHEMBL918623,Displacement of biotinylated Bim BH3 peptide from recombinant His-tagged Bcl2 by ELISA assay
CHEMBL220055,CC(C)c1cc(C(=O)N2CCc3ccccc3C2)c(O)c(O)c1O,38200.0,nM,=,4.42,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA
CHEMBL258819,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2nc3ccccc3s2)c(O)c(O)c1O,170.0,nM,=,6.77,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA
CHEMBL259034,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2cccc3ccccc23)c(O)c(O)c1O,290.0,nM,=,6.54,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA
CHEMBL259033,CC(C)C(=O)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,2600.0,nM,=,5.58,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA
CHEMBL270268,CC(C)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,3400.0,nM,=,5.47,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA
CHEMBL269836,CC(C)c1cc(C(=O)c2ccccc2)c(O)c(O)c1O,41600.0,nM,=,4.38,CHEMBL932183,Inhibition of human Bcl-2 protein by ELISA
CHEMBL464268,Cc1cc(C(=O)N2CCc3ccccc3C2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,1500.0,nM,=,5.82,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL464440,Cc1cc(C(=O)Nc2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,50000.0,nM,=,4.30,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL466801,Cc1cc(C(=O)N(C)c2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,2500.0,nM,=,5.60,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL469305,Cc1cc(C(=O)N(C)c2ccc(F)cc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,10700.0,nM,=,4.97,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL518858,Cc1cc(C(=O)N(C)c2cccc(F)c2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,2300.0,nM,=,5.64,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL480008,Cc1cc(C(=O)N(C)c2ccccc2F)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,3000.0,nM,=,5.52,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL480009,CCN(C(=O)c1cc(C)n(-c2ccccc2C(=O)N2CCc3ccccc3C2)n1)c1ccccc1,1900.0,nM,=,5.72,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL480010,Cc1cc(C(=O)N(c2ccccc2)C(C)C)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,7700.0,nM,=,5.11,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL516633,Cc1cc(C(=O)N(c2ccccc2)C2CCCCC2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,1400.0,nM,=,5.85,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL517577,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1,800.0,nM,=,6.10,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
CHEMBL444140,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,190.0,nM,=,6.72,CHEMBL1019892,Inhibition of GST fused Bcl-2 binding to biotinylated 16 mer Bak-BH3 peptide by HTRF-LANCE assay
